AsAt,OccGroup,Score,n
01/2026,2414 Secondary School Teachers,100,1
01/2026,2414 Secondary School Teachers,40,1
01/2026,2414 Secondary School Teachers,45,4
01/2026,1341 Child Care Centre Managers,65,9
01/2026,1341 Child Care Centre Managers,75,3
01/2026,1341 Child Care Centre Managers,70,10
01/2026,1341 Child Care Centre Managers,80,3
01/2026,1341 Child Care Centre Managers,55,1
01/2026,1341 Child Care Centre Managers,60,7
01/2026,1341 Child Care Centre Managers,50,3
01/2026,"2241 Actuaries, Mathematicians and Statisticians",65,70
01/2026,"2241 Actuaries, Mathematicians and Statisticians",75,114
01/2026,"2241 Actuaries, Mathematicians and Statisticians",70,91
01/2026,"2241 Actuaries, Mathematicians and Statisticians",80,143
01/2026,"2241 Actuaries, Mathematicians and Statisticians",95,14
01/2026,"2241 Actuaries, Mathematicians and Statisticians",90,63
01/2026,"2241 Actuaries, Mathematicians and Statisticians",85,125
01/2026,"2241 Actuaries, Mathematicians and Statisticians",55,15
01/2026,"2241 Actuaries, Mathematicians and Statisticians",60,25
01/2026,"2241 Actuaries, Mathematicians and Statisticians",50,2
01/2026,"2241 Actuaries, Mathematicians and Statisticians",100,2
01/2026,"2241 Actuaries, Mathematicians and Statisticians",105,2
01/2026,"2241 Actuaries, Mathematicians and Statisticians",40,2
01/2026,3331 Glaziers,65,3
01/2026,3331 Glaziers,75,2
01/2026,3331 Glaziers,70,1
01/2026,3331 Glaziers,60,3
01/2026,2421 University Lecturers and Tutors,65,389
01/2026,2421 University Lecturers and Tutors,75,343
01/2026,2421 University Lecturers and Tutors,70,406
01/2026,2421 University Lecturers and Tutors,80,284
01/2026,2421 University Lecturers and Tutors,95,47
01/2026,2421 University Lecturers and Tutors,90,131
01/2026,2421 University Lecturers and Tutors,85,187
01/2026,2421 University Lecturers and Tutors,55,58
01/2026,2421 University Lecturers and Tutors,60,162
01/2026,2421 University Lecturers and Tutors,50,26
01/2026,2421 University Lecturers and Tutors,100,20
01/2026,2421 University Lecturers and Tutors,105,6
01/2026,2421 University Lecturers and Tutors,40,1
01/2026,2421 University Lecturers and Tutors,45,2
01/2026,2633 Telecommunications Engineering Professionals,65,224
01/2026,2633 Telecommunications Engineering Professionals,75,307
01/2026,2633 Telecommunications Engineering Professionals,70,220
01/2026,2633 Telecommunications Engineering Professionals,80,199
01/2026,2633 Telecommunications Engineering Professionals,95,23
01/2026,2633 Telecommunications Engineering Professionals,90,86
01/2026,2633 Telecommunications Engineering Professionals,85,198
01/2026,2633 Telecommunications Engineering Professionals,55,43
01/2026,2633 Telecommunications Engineering Professionals,60,92
01/2026,2633 Telecommunications Engineering Professionals,50,32
01/2026,2633 Telecommunications Engineering Professionals,100,2
01/2026,2633 Telecommunications Engineering Professionals,40,4
01/2026,2633 Telecommunications Engineering Professionals,45,5
01/2026,2633 Telecommunications Engineering Professionals,35,1
01/2026,1332 Engineering Managers,65,74
01/2026,1332 Engineering Managers,75,64
01/2026,1332 Engineering Managers,70,63
01/2026,1332 Engineering Managers,80,28
01/2026,1332 Engineering Managers,95,1
01/2026,1332 Engineering Managers,90,2
01/2026,1332 Engineering Managers,85,15
01/2026,1332 Engineering Managers,55,23
01/2026,1332 Engineering Managers,60,20
01/2026,1332 Engineering Managers,50,3
01/2026,1332 Engineering Managers,40,1
01/2026,1332 Engineering Managers,45,3
01/2026,3122 Civil Engineering Draftspersons and Technicians,65,1564
01/2026,3122 Civil Engineering Draftspersons and Technicians,75,1226
01/2026,3122 Civil Engineering Draftspersons and Technicians,70,1619
01/2026,3122 Civil Engineering Draftspersons and Technicians,80,719
01/2026,3122 Civil Engineering Draftspersons and Technicians,95,10
01/2026,3122 Civil Engineering Draftspersons and Technicians,90,64
01/2026,3122 Civil Engineering Draftspersons and Technicians,85,345
01/2026,3122 Civil Engineering Draftspersons and Technicians,55,326
01/2026,3122 Civil Engineering Draftspersons and Technicians,60,547
01/2026,3122 Civil Engineering Draftspersons and Technicians,50,157
01/2026,3122 Civil Engineering Draftspersons and Technicians,40,8
01/2026,3122 Civil Engineering Draftspersons and Technicians,45,26
01/2026,3122 Civil Engineering Draftspersons and Technicians,30,1
01/2026,3122 Civil Engineering Draftspersons and Technicians,35,2
01/2026,1399 Other Specialist Managers,65,30
01/2026,1399 Other Specialist Managers,75,51
01/2026,1399 Other Specialist Managers,70,31
01/2026,1399 Other Specialist Managers,80,30
01/2026,1399 Other Specialist Managers,95,1
01/2026,1399 Other Specialist Managers,90,4
01/2026,1399 Other Specialist Managers,85,17
01/2026,1399 Other Specialist Managers,55,14
01/2026,1399 Other Specialist Managers,60,18
01/2026,1399 Other Specialist Managers,50,1
01/2026,2322 Cartographers and Surveyors,65,73
01/2026,2322 Cartographers and Surveyors,75,47
01/2026,2322 Cartographers and Surveyors,70,80
01/2026,2322 Cartographers and Surveyors,80,37
01/2026,2322 Cartographers and Surveyors,95,2
01/2026,2322 Cartographers and Surveyors,90,2
01/2026,2322 Cartographers and Surveyors,85,31
01/2026,2322 Cartographers and Surveyors,55,21
01/2026,2322 Cartographers and Surveyors,60,27
01/2026,2322 Cartographers and Surveyors,50,1
01/2026,2322 Cartographers and Surveyors,100,2
01/2026,3233 Precision Metal Trades Workers,65,2
01/2026,3233 Precision Metal Trades Workers,75,1
01/2026,3233 Precision Metal Trades Workers,70,3
01/2026,3233 Precision Metal Trades Workers,55,1
01/2026,3233 Precision Metal Trades Workers,60,2
01/2026,3233 Precision Metal Trades Workers,50,1
01/2026,2245 Land Economists and Valuers,65,25
01/2026,2245 Land Economists and Valuers,75,36
01/2026,2245 Land Economists and Valuers,70,16
01/2026,2245 Land Economists and Valuers,80,31
01/2026,2245 Land Economists and Valuers,90,4
01/2026,2245 Land Economists and Valuers,85,14
01/2026,2245 Land Economists and Valuers,55,2
01/2026,2245 Land Economists and Valuers,60,3
01/2026,2245 Land Economists and Valuers,50,1
01/2026,2245 Land Economists and Valuers,40,1
01/2026,2245 Land Economists and Valuers,45,1
01/2026,2245 Land Economists and Valuers,30,1
01/2026,2336 Mining Engineers,65,146
01/2026,2336 Mining Engineers,75,143
01/2026,2336 Mining Engineers,70,146
01/2026,2336 Mining Engineers,80,112
01/2026,2336 Mining Engineers,95,5
01/2026,2336 Mining Engineers,90,16
01/2026,2336 Mining Engineers,85,66
01/2026,2336 Mining Engineers,55,33
01/2026,2336 Mining Engineers,60,32
01/2026,2336 Mining Engineers,50,16
01/2026,2336 Mining Engineers,40,1
01/2026,2336 Mining Engineers,45,5
01/2026,2612 Multimedia Specialists and Web Developers,65,36
01/2026,2612 Multimedia Specialists and Web Developers,75,59
01/2026,2612 Multimedia Specialists and Web Developers,70,46
01/2026,2612 Multimedia Specialists and Web Developers,80,48
01/2026,2612 Multimedia Specialists and Web Developers,95,18
01/2026,2612 Multimedia Specialists and Web Developers,90,92
01/2026,2612 Multimedia Specialists and Web Developers,85,70
01/2026,2612 Multimedia Specialists and Web Developers,55,4
01/2026,2612 Multimedia Specialists and Web Developers,60,6
01/2026,2612 Multimedia Specialists and Web Developers,50,5
01/2026,2612 Multimedia Specialists and Web Developers,100,3
01/2026,2612 Multimedia Specialists and Web Developers,105,1
01/2026,2612 Multimedia Specialists and Web Developers,40,1
01/2026,3223 Structural Steel and Welding Trades Workers,65,165
01/2026,3223 Structural Steel and Welding Trades Workers,75,96
01/2026,3223 Structural Steel and Welding Trades Workers,70,148
01/2026,3223 Structural Steel and Welding Trades Workers,80,68
01/2026,3223 Structural Steel and Welding Trades Workers,90,11
01/2026,3223 Structural Steel and Welding Trades Workers,85,12
01/2026,3223 Structural Steel and Welding Trades Workers,55,26
01/2026,3223 Structural Steel and Welding Trades Workers,60,66
01/2026,3223 Structural Steel and Welding Trades Workers,50,13
01/2026,3223 Structural Steel and Welding Trades Workers,40,2
01/2026,3223 Structural Steel and Welding Trades Workers,45,9
01/2026,3223 Structural Steel and Welding Trades Workers,30,1
01/2026,2349 Other Natural and Physical Science Professionals,65,53
01/2026,2349 Other Natural and Physical Science Professionals,75,53
01/2026,2349 Other Natural and Physical Science Professionals,70,55
01/2026,2349 Other Natural and Physical Science Professionals,80,39
01/2026,2349 Other Natural and Physical Science Professionals,95,1
01/2026,2349 Other Natural and Physical Science Professionals,90,9
01/2026,2349 Other Natural and Physical Science Professionals,85,17
01/2026,2349 Other Natural and Physical Science Professionals,55,3
01/2026,2349 Other Natural and Physical Science Professionals,60,23
01/2026,2349 Other Natural and Physical Science Professionals,50,8
01/2026,2349 Other Natural and Physical Science Professionals,100,1
01/2026,2349 Other Natural and Physical Science Professionals,40,1
01/2026,1331 Construction Managers,65,412
01/2026,1331 Construction Managers,75,431
01/2026,1331 Construction Managers,70,509
01/2026,1331 Construction Managers,80,254
01/2026,1331 Construction Managers,95,4
01/2026,1331 Construction Managers,90,24
01/2026,1331 Construction Managers,85,100
01/2026,1331 Construction Managers,55,88
01/2026,1331 Construction Managers,60,117
01/2026,1331 Construction Managers,50,27
01/2026,1331 Construction Managers,40,4
01/2026,1331 Construction Managers,45,9
01/2026,2343 Environmental Scientists,65,96
01/2026,2343 Environmental Scientists,75,88
01/2026,2343 Environmental Scientists,70,119
01/2026,2343 Environmental Scientists,80,83
01/2026,2343 Environmental Scientists,95,8
01/2026,2343 Environmental Scientists,90,33
01/2026,2343 Environmental Scientists,85,77
01/2026,2343 Environmental Scientists,55,9
01/2026,2343 Environmental Scientists,60,33
01/2026,2343 Environmental Scientists,50,2
01/2026,2343 Environmental Scientists,100,3
01/2026,2343 Environmental Scientists,105,1
01/2026,2343 Environmental Scientists,40,1
01/2026,2343 Environmental Scientists,45,3
01/2026,2711 Barristers,65,2
01/2026,2711 Barristers,75,2
01/2026,2711 Barristers,80,2
01/2026,2711 Barristers,90,1
01/2026,3132 Telecommunications Technical Specialists,65,157
01/2026,3132 Telecommunications Technical Specialists,75,133
01/2026,3132 Telecommunications Technical Specialists,70,132
01/2026,3132 Telecommunications Technical Specialists,80,79
01/2026,3132 Telecommunications Technical Specialists,90,18
01/2026,3132 Telecommunications Technical Specialists,85,41
01/2026,3132 Telecommunications Technical Specialists,55,36
01/2026,3132 Telecommunications Technical Specialists,60,77
01/2026,3132 Telecommunications Technical Specialists,50,29
01/2026,3132 Telecommunications Technical Specialists,40,3
01/2026,3132 Telecommunications Technical Specialists,45,2
01/2026,3312 Carpenters and Joiners,65,234
01/2026,3312 Carpenters and Joiners,75,55
01/2026,3312 Carpenters and Joiners,70,149
01/2026,3312 Carpenters and Joiners,80,21
01/2026,3312 Carpenters and Joiners,90,1
01/2026,3312 Carpenters and Joiners,85,6
01/2026,3312 Carpenters and Joiners,55,69
01/2026,3312 Carpenters and Joiners,60,182
01/2026,3312 Carpenters and Joiners,50,26
01/2026,3312 Carpenters and Joiners,40,2
01/2026,3312 Carpenters and Joiners,45,6
01/2026,2725 Social Workers,65,178
01/2026,2725 Social Workers,75,308
01/2026,2725 Social Workers,70,269
01/2026,2725 Social Workers,80,151
01/2026,2725 Social Workers,95,2
01/2026,2725 Social Workers,90,5
01/2026,2725 Social Workers,85,56
01/2026,2725 Social Workers,55,20
01/2026,2725 Social Workers,60,37
01/2026,2725 Social Workers,50,3
01/2026,2725 Social Workers,100,1
01/2026,2725 Social Workers,40,1
01/2026,2725 Social Workers,45,2
01/2026,3322 Painting Trades Workers,65,398
01/2026,3322 Painting Trades Workers,75,59
01/2026,3322 Painting Trades Workers,70,228
01/2026,3322 Painting Trades Workers,80,25
01/2026,3322 Painting Trades Workers,90,1
01/2026,3322 Painting Trades Workers,85,10
01/2026,3322 Painting Trades Workers,55,48
01/2026,3322 Painting Trades Workers,60,112
01/2026,3322 Painting Trades Workers,50,24
01/2026,3322 Painting Trades Workers,40,2
01/2026,3322 Painting Trades Workers,45,1
01/2026,3322 Painting Trades Workers,35,1
01/2026,3423 Electronics Trades Workers,65,101
01/2026,3423 Electronics Trades Workers,75,62
01/2026,3423 Electronics Trades Workers,70,60
01/2026,3423 Electronics Trades Workers,80,27
01/2026,3423 Electronics Trades Workers,85,7
01/2026,3423 Electronics Trades Workers,55,37
01/2026,3423 Electronics Trades Workers,60,42
01/2026,3423 Electronics Trades Workers,50,4
01/2026,3423 Electronics Trades Workers,40,1
01/2026,3423 Electronics Trades Workers,45,2
01/2026,2521 Chiropractors and Osteopaths,65,10
01/2026,2521 Chiropractors and Osteopaths,75,161
01/2026,2521 Chiropractors and Osteopaths,70,17
01/2026,2521 Chiropractors and Osteopaths,80,14
01/2026,2521 Chiropractors and Osteopaths,90,1
01/2026,2521 Chiropractors and Osteopaths,85,2
01/2026,2521 Chiropractors and Osteopaths,55,1
01/2026,2521 Chiropractors and Osteopaths,60,4
01/2026,2521 Chiropractors and Osteopaths,50,1
01/2026,3941 Cabinetmakers,65,35
01/2026,3941 Cabinetmakers,75,12
01/2026,3941 Cabinetmakers,70,32
01/2026,3941 Cabinetmakers,80,3
01/2026,3941 Cabinetmakers,85,3
01/2026,3941 Cabinetmakers,55,2
01/2026,3941 Cabinetmakers,60,13
01/2026,3941 Cabinetmakers,50,7
01/2026,3941 Cabinetmakers,45,3
01/2026,2243 Economists,65,30
01/2026,2243 Economists,75,33
01/2026,2243 Economists,70,22
01/2026,2243 Economists,80,43
01/2026,2243 Economists,95,1
01/2026,2243 Economists,90,8
01/2026,2243 Economists,85,26
01/2026,2243 Economists,55,6
01/2026,2243 Economists,60,15
01/2026,2243 Economists,50,3
01/2026,2243 Economists,45,1
01/2026,3311 Bricklayers and Stonemasons,65,35
01/2026,3311 Bricklayers and Stonemasons,75,3
01/2026,3311 Bricklayers and Stonemasons,70,14
01/2026,3311 Bricklayers and Stonemasons,85,1
01/2026,3311 Bricklayers and Stonemasons,55,22
01/2026,3311 Bricklayers and Stonemasons,60,27
01/2026,3311 Bricklayers and Stonemasons,50,10
01/2026,3311 Bricklayers and Stonemasons,40,1
01/2026,3311 Bricklayers and Stonemasons,45,4
01/2026,1342 Health and Welfare Services Managers,65,26
01/2026,1342 Health and Welfare Services Managers,75,9
01/2026,1342 Health and Welfare Services Managers,70,19
01/2026,1342 Health and Welfare Services Managers,80,6
01/2026,1342 Health and Welfare Services Managers,90,2
01/2026,1342 Health and Welfare Services Managers,85,3
01/2026,1342 Health and Welfare Services Managers,55,6
01/2026,1342 Health and Welfare Services Managers,60,20
01/2026,1342 Health and Welfare Services Managers,50,1
01/2026,1342 Health and Welfare Services Managers,45,1
01/2026,2539 Other Medical Practitioners,65,81
01/2026,2539 Other Medical Practitioners,75,125
01/2026,2539 Other Medical Practitioners,70,116
01/2026,2539 Other Medical Practitioners,80,83
01/2026,2539 Other Medical Practitioners,90,14
01/2026,2539 Other Medical Practitioners,85,48
01/2026,2539 Other Medical Practitioners,55,10
01/2026,2539 Other Medical Practitioners,60,25
01/2026,2539 Other Medical Practitioners,50,2
01/2026,2539 Other Medical Practitioners,100,1
01/2026,2539 Other Medical Practitioners,20,1
01/2026,3411 Electricians,65,53
01/2026,3411 Electricians,75,7
01/2026,3411 Electricians,70,22
01/2026,3411 Electricians,80,4
01/2026,3411 Electricians,95,1
01/2026,3411 Electricians,55,30
01/2026,3411 Electricians,60,46
01/2026,3411 Electricians,50,38
01/2026,3411 Electricians,40,1
01/2026,3411 Electricians,45,5
01/2026,3411 Electricians,35,1
01/2026,2525 Physiotherapists,65,89
01/2026,2525 Physiotherapists,75,149
01/2026,2525 Physiotherapists,70,177
01/2026,2525 Physiotherapists,80,52
01/2026,2525 Physiotherapists,90,2
